Hvul_g11050_1	Hvul_21_6
Hvul_g11051_1	Hvul_21_7
Hvul_g11052_1	Hvul_21_8
Hvul_g11053_1	Hvul_21_9
Hvul_g11054_1	Hvul_21_10
Hvul_g11055_1	Hvul_21_11
Hvul_g11056_1	Hvul_21_12
Hvul_g11057_1	Hvul_21_13
Hvul_g11058_1	Hvul_21_14
Hvul_g11059_1	Hvul_21_15
Hvul_g11060_1	Hvul_21_16
Hvul_g11061_1	Hvul_21_17
Hvul_g11062_1	Hvul_21_18
Hvul_g11063_1	Hvul_21_19
Hvul_g11064_1	Hvul_21_20
Hvul_g11065_1	Hvul_21_21
Hvul_g11066_1	Hvul_21_22
Hvul_g11067_1	Hvul_21_23
Hvul_g11068_1	Hvul_21_24
Hvul_g11069_1	Hvul_21_25
Hvul_g11070_1	Hvul_21_26
Hvul_g16757_1	Hvul_22_1
Hvul_g16758_1	Hvul_22_2
Hvul_g6610_1	Hvul_23_1
Hvul_g6611_1	Hvul_23_2
Hvul_g6612_1	Hvul_23_3
Hvul_g6613_1	Hvul_23_4
Hvul_g6614_1	Hvul_23_5
Hvul_g6615_1	Hvul_23_6
Hvul_g6616_1	Hvul_23_7
Hvul_g6617_1	Hvul_23_8
Hvul_g6618_1	Hvul_23_9
Hvul_g6619_1	Hvul_23_10
Hvul_g6620_1	Hvul_23_11
Hvul_g6621_1	Hvul_23_12
Hvul_g6622_1	Hvul_23_13
Hvul_g6623_1	Hvul_23_14
Hvul_g6624_1	Hvul_23_15
Hvul_g6625_1	Hvul_23_16
Hvul_g6626_1	Hvul_23_17
Hvul_g6627_1	Hvul_23_18
Hvul_g6628_1	Hvul_23_19
Hvul_g6629_1	Hvul_23_20
Hvul_g6630_1	Hvul_23_21
Hvul_g6631_1	Hvul_23_22
Hvul_g6632_1	Hvul_23_23
Hvul_g6633_1	Hvul_23_24
Hvul_g6634_1	Hvul_23_25
Hvul_g6635_1	Hvul_23_26
Hvul_g6636_1	Hvul_23_27
Hvul_g6637_1	Hvul_23_28
Hvul_g6638_1	Hvul_23_29
Hvul_g6639_1	Hvul_23_30
Hvul_g6640_1	Hvul_23_31
Hvul_g6641_1	Hvul_23_32
Hvul_g6642_1	Hvul_23_33
Hvul_g6643_1	Hvul_23_34
Hvul_g6644_1	Hvul_23_35
Hvul_g6645_1	Hvul_23_36
Hvul_g6646_1	Hvul_23_37
Hvul_g6647_1	Hvul_23_38
Hvul_g6648_1	Hvul_23_39
Hvul_g6649_1	Hvul_23_40
Hvul_g6650_1	Hvul_23_41
Hvul_g6651_1	Hvul_23_42
Hvul_g6652_1	Hvul_23_43
Hvul_g6653_1	Hvul_23_44
Hvul_g6654_1	Hvul_23_45
Hvul_g6655_1	Hvul_23_46
Hvul_g6656_1	Hvul_23_47
Hvul_g6657_1	Hvul_23_48
Hvul_g6658_1	Hvul_23_49
Hvul_g3597_1	Hvul_24_1
Hvul_g3598_1	Hvul_24_2
Hvul_g3599_1	Hvul_24_3
Hvul_g3600_1	Hvul_24_4
Hvul_g3601_1	Hvul_24_5
Hvul_g3602_1	Hvul_24_6
Hvul_g3603_1	Hvul_24_7
Hvul_g3604_1	Hvul_24_8
Hvul_g3605_1	Hvul_24_9
Hvul_g3606_1	Hvul_24_10
Hvul_g3607_1	Hvul_24_11
Hvul_g3608_1	Hvul_24_12
Hvul_g3609_1	Hvul_24_13
Hvul_g3610_1	Hvul_24_14
Hvul_g3611_1	Hvul_24_15
Hvul_g3612_1	Hvul_24_16
Hvul_g3613_1	Hvul_24_17
Hvul_g3614_1	Hvul_24_18
Hvul_g3615_1	Hvul_24_19
Hvul_g3616_1	Hvul_24_20
Hvul_g3617_1	Hvul_24_21
Hvul_g3618_1	Hvul_24_22
Hvul_g3619_1	Hvul_24_23
Hvul_g3620_1	Hvul_24_24
Hvul_g3621_1	Hvul_24_25
Hvul_g3622_1	Hvul_24_26
Hvul_g3623_1	Hvul_24_27
Hvul_g3624_1	Hvul_24_28
Hvul_g3625_1	Hvul_24_29
Hvul_g3626_1	Hvul_24_30
Hvul_g8210_1	Hvul_25_1
Hvul_g8211_1	Hvul_25_2
Hvul_g8212_1	Hvul_25_3
Hvul_g8213_1	Hvul_25_4
Hvul_g8214_1	Hvul_25_5
Hvul_g8215_1	Hvul_25_6
Hvul_g5673_1	Hvul_26_1
Hvul_g5674_1	Hvul_26_2
Hvul_g5675_1	Hvul_26_3
Hvul_g5676_1	Hvul_26_4
Hvul_g5677_1	Hvul_26_5
Hvul_g5678_1	Hvul_26_6
Hvul_g5679_1	Hvul_26_7
Hvul_g5680_1	Hvul_26_8
Hvul_g5681_1	Hvul_26_9
Hvul_g5682_1	Hvul_26_10
Hvul_g26905_1	Hvul_27_1
Hvul_g26906_1	Hvul_27_2
Hvul_g26907_1	Hvul_27_3
Hvul_g26908_1	Hvul_27_4
Hvul_g26909_1	Hvul_27_5
Hvul_g26910_1	Hvul_27_6
Hvul_g26911_1	Hvul_27_7
Hvul_g26912_1	Hvul_27_8
Hvul_g26913_1	Hvul_27_9
Hvul_g26914_1	Hvul_27_10
Hvul_g26915_1	Hvul_27_11
Hvul_g4663_1	Hvul_28_1
Hvul_g28526_1	Hvul_29_1
Hvul_g28527_1	Hvul_29_2
Hvul_g28528_1	Hvul_29_3
Hvul_g28529_1	Hvul_29_4
Hvul_g28530_1	Hvul_29_5
Hvul_g28531_1	Hvul_29_6
Hvul_g28532_1	Hvul_29_7
Hvul_g28533_1	Hvul_29_8
Hvul_g28534_1	Hvul_29_9
Hvul_g28535_1	Hvul_29_10
Hvul_g28536_1	Hvul_29_11
Hvul_g13488_1	Hvul_30_1
Hvul_g7336_1	Hvul_31_1
Hvul_g7337_1	Hvul_31_2
Hvul_g7338_1	Hvul_31_3
Hvul_g7339_1	Hvul_31_4
Hvul_g7340_1	Hvul_31_5
Hvul_g7341_1	Hvul_31_6
Hvul_g10553_1	Hvul_32_1
Hvul_g10554_1	Hvul_32_2
Hvul_g10555_1	Hvul_32_3
Hvul_g10556_1	Hvul_32_4
Hvul_g10557_1	Hvul_32_5
Hvul_g10558_1	Hvul_32_6
Hvul_g10559_1	Hvul_32_7
Hvul_g10560_1	Hvul_32_8
Hvul_g10561_1	Hvul_32_9
Hvul_g10562_1	Hvul_32_10
Hvul_g10563_1	Hvul_32_11
Hvul_g10564_1	Hvul_32_12
Hvul_g10565_1	Hvul_32_13
Hvul_g10566_1	Hvul_32_14
Hvul_g10567_1	Hvul_32_15
Hvul_g16741_1	Hvul_33_1
Hvul_g16742_1	Hvul_33_2
Hvul_g16743_1	Hvul_33_3
Hvul_g16744_1	Hvul_33_4
Hvul_g16745_1	Hvul_33_5
Hvul_g16746_1	Hvul_33_6
Hvul_g16747_1	Hvul_33_7
Hvul_g16748_1	Hvul_33_8
Hvul_g16749_1	Hvul_33_9
Hvul_g16750_1	Hvul_33_10
Hvul_g16751_1	Hvul_33_11
Hvul_g16752_1	Hvul_33_12
Hvul_g16753_1	Hvul_33_13
Hvul_g16754_1	Hvul_33_14
Hvul_g16755_1	Hvul_33_15
Hvul_g5267_1	Hvul_34_1
Hvul_g33175_1	Hvul_35_1
Hvul_g33176_1	Hvul_35_2
Hvul_g33177_1	Hvul_35_3
Hvul_g33178_1	Hvul_35_4
Hvul_g33179_1	Hvul_35_5
Hvul_g33180_1	Hvul_35_6
Hvul_g33181_1	Hvul_35_7
Hvul_g33182_1	Hvul_35_8
Hvul_g33183_1	Hvul_35_9
Hvul_g33184_1	Hvul_35_10
Hvul_g33185_1	Hvul_35_11
Hvul_g33186_1	Hvul_35_12
Hvul_g33187_1	Hvul_35_13
Hvul_g33188_1	Hvul_35_14
Hvul_g33189_1	Hvul_35_15
Hvul_g30815_1	Hvul_36_1
Hvul_g30816_1	Hvul_36_2
Hvul_g30817_1	Hvul_36_3
Hvul_g30818_1	Hvul_36_4
Hvul_g30819_1	Hvul_36_5
Hvul_g30820_1	Hvul_36_6
Hvul_g30821_1	Hvul_36_7
Hvul_g30822_1	Hvul_36_8
Hvul_g30823_1	Hvul_36_9
Hvul_g30824_1	Hvul_36_10
Hvul_g30825_1	Hvul_36_11
Hvul_g30826_1	Hvul_36_12
Hvul_g30827_1	Hvul_36_13
Hvul_g30828_1	Hvul_36_14
Hvul_g30829_1	Hvul_36_15
Hvul_g30830_1	Hvul_36_16
Hvul_g30831_1	Hvul_36_17
Hvul_g30832_1	Hvul_36_18
Hvul_g30833_1	Hvul_36_19
Hvul_g30834_1	Hvul_36_20
Hvul_g30835_1	Hvul_36_21
Hvul_g30836_1	Hvul_36_22
Hvul_g30837_1	Hvul_36_23
Hvul_g30838_1	Hvul_36_24
Hvul_g30839_1	Hvul_36_25
Hvul_g30840_1	Hvul_36_26
Hvul_g30841_1	Hvul_36_27
Hvul_g30842_1	Hvul_36_28
Hvul_g30843_1	Hvul_36_29
Hvul_g30844_1	Hvul_36_30
Hvul_g30845_1	Hvul_36_31
Hvul_g308_1	Hvul_37_1
Hvul_g309_1	Hvul_37_2
Hvul_g310_1	Hvul_37_3
Hvul_g311_1	Hvul_37_4
Hvul_g312_1	Hvul_37_5
Hvul_g313_1	Hvul_37_6
Hvul_g314_1	Hvul_37_7
Hvul_g315_1	Hvul_37_8
Hvul_g316_1	Hvul_37_9
Hvul_g317_1	Hvul_37_10
Hvul_g318_1	Hvul_37_11
Hvul_g319_1	Hvul_37_12
Hvul_g320_1	Hvul_37_13
Hvul_g321_1	Hvul_37_14
Hvul_g322_1	Hvul_37_15
Hvul_g323_1	Hvul_37_16
Hvul_g324_1	Hvul_37_17
Hvul_g325_1	Hvul_37_18
Hvul_g326_1	Hvul_37_19
Hvul_g327_1	Hvul_37_20
Hvul_g328_1	Hvul_37_21
Hvul_g329_1	Hvul_37_22
Hvul_g330_1	Hvul_37_23
Hvul_g331_1	Hvul_37_24
Hvul_g332_1	Hvul_37_25
Hvul_g333_1	Hvul_37_26
Hvul_g334_1	Hvul_37_27
Hvul_g335_1	Hvul_37_28
Hvul_g336_1	Hvul_37_29
Hvul_g337_1	Hvul_37_30
Hvul_g338_1	Hvul_37_31
Hvul_g339_1	Hvul_37_32
Hvul_g340_1	Hvul_37_33
Hvul_g341_1	Hvul_37_34
Hvul_g342_1	Hvul_37_35
Hvul_g343_1	Hvul_37_36
Hvul_g344_1	Hvul_37_37
Hvul_g345_1	Hvul_37_38
Hvul_g346_1	Hvul_37_39
Hvul_g347_1	Hvul_37_40
Hvul_g348_1	Hvul_37_41
Hvul_g349_1	Hvul_37_42
Hvul_g350_1	Hvul_37_43
Hvul_g351_1	Hvul_37_44
Hvul_g352_1	Hvul_37_45
Hvul_g353_1	Hvul_37_46
Hvul_g354_1	Hvul_37_47
Hvul_g355_1	Hvul_37_48
Hvul_g356_1	Hvul_37_49
Hvul_g357_1	Hvul_37_50
Hvul_g358_1	Hvul_37_51
Hvul_g359_1	Hvul_37_52
Hvul_g360_1	Hvul_37_53
Hvul_g361_1	Hvul_37_54
Hvul_g362_1	Hvul_37_55
Hvul_g363_1	Hvul_37_56
Hvul_g364_1	Hvul_37_57
Hvul_g365_1	Hvul_37_58
Hvul_g366_1	Hvul_37_59
