Hduj_gnl_WGS_MTYJ_mrna.BV898_00153.1	Hduj_1_153
Hduj_gnl_WGS_MTYJ_mrna.BV898_00154.1	Hduj_1_154
Hduj_gnl_WGS_MTYJ_mrna.BV898_00155.1	Hduj_1_155
Hduj_gnl_WGS_MTYJ_mrna.BV898_00156.1	Hduj_1_156
Hduj_gnl_WGS_MTYJ_mrna.BV898_00157.1	Hduj_1_157
Hduj_gnl_WGS_MTYJ_mrna.BV898_00158.1	Hduj_1_158
Hduj_gnl_WGS_MTYJ_mrna.BV898_00159.1	Hduj_1_159
Hduj_gnl_WGS_MTYJ_mrna.BV898_00160.1	Hduj_1_160
Hduj_gnl_WGS_MTYJ_mrna.BV898_00161.1	Hduj_1_161
Hduj_gnl_WGS_MTYJ_mrna.BV898_00162.1	Hduj_1_162
Hduj_gnl_WGS_MTYJ_mrna.BV898_00163.1	Hduj_1_163
Hduj_gnl_WGS_MTYJ_mrna.BV898_00164.1	Hduj_1_164
Hduj_gnl_WGS_MTYJ_mrna.BV898_00165.1	Hduj_1_165
Hduj_gnl_WGS_MTYJ_mrna.BV898_00166.1	Hduj_1_166
Hduj_gnl_WGS_MTYJ_mrna.BV898_00167.1	Hduj_1_167
Hduj_gnl_WGS_MTYJ_mrna.BV898_00168.1	Hduj_1_168
Hduj_gnl_WGS_MTYJ_mrna.BV898_00169.1	Hduj_1_169
Hduj_gnl_WGS_MTYJ_mrna.BV898_00170.1	Hduj_1_170
Hduj_gnl_WGS_MTYJ_mrna.BV898_00171.1	Hduj_1_171
Hduj_gnl_WGS_MTYJ_mrna.BV898_00172.1	Hduj_1_172
Hduj_gnl_WGS_MTYJ_mrna.BV898_00173.1	Hduj_1_173
Hduj_gnl_WGS_MTYJ_mrna.BV898_00174.1	Hduj_1_174
Hduj_gnl_WGS_MTYJ_mrna.BV898_00175.1	Hduj_1_175
Hduj_gnl_WGS_MTYJ_mrna.BV898_00176.1	Hduj_1_176
Hduj_gnl_WGS_MTYJ_mrna.BV898_00177.1	Hduj_1_177
