Tetwil_g23082.t1	Tetwil_3_63
Tetwil_g23083.t2	Tetwil_3_64
Tetwil_g23084.t1	Tetwil_3_65
Tetwil_g23085.t1	Tetwil_3_66
Tetwil_g23086.t1	Tetwil_3_67
Tetwil_g23087.t1	Tetwil_3_68
Tetwil_g23088.t2	Tetwil_3_69
Tetwil_g23089.t1	Tetwil_3_70
Tetwil_g23090.t1	Tetwil_3_71
Tetwil_g23091.t1	Tetwil_3_72
Tetwil_g23092.t1	Tetwil_3_73
Tetwil_g23093.t1	Tetwil_3_74
Tetwil_g23094.t1	Tetwil_3_75
Tetwil_g23095.t1	Tetwil_3_76
Tetwil_g23096.t1	Tetwil_3_77
Tetwil_g23097.t2	Tetwil_3_78
Tetwil_g23098.t1	Tetwil_3_79
Tetwil_g23099.t1	Tetwil_3_80
Tetwil_g23100.t1	Tetwil_3_81
Tetwil_g23101.t1	Tetwil_3_82
Tetwil_g23102.t1	Tetwil_3_83
Tetwil_g23103.t1	Tetwil_3_84
Tetwil_g23104.t1	Tetwil_3_85
Tetwil_g23105.t1	Tetwil_3_86
Tetwil_g23106.t1	Tetwil_3_87
Tetwil_g23107.t1	Tetwil_3_88
Tetwil_g23108.t1	Tetwil_3_89
Tetwil_g23109.t1	Tetwil_3_90
Tetwil_g23360.t1	Tetwil_4_1
Tetwil_g23361.t1	Tetwil_4_2
Tetwil_g23362.t1	Tetwil_4_3
Tetwil_g23363.t1	Tetwil_4_4
Tetwil_g23364.t1	Tetwil_4_5
Tetwil_g23365.t1	Tetwil_4_6
Tetwil_g23366.t1	Tetwil_4_7
Tetwil_g23367.t1	Tetwil_4_8
Tetwil_g23368.t1	Tetwil_4_9
Tetwil_g23369.t1	Tetwil_4_10
Tetwil_g23370.t1	Tetwil_4_11
Tetwil_g23371.t1	Tetwil_4_12
Tetwil_g23372.t1	Tetwil_4_13
Tetwil_g23373.t2	Tetwil_4_14
Tetwil_g23374.t2	Tetwil_4_15
Tetwil_g23375.t1	Tetwil_4_16
Tetwil_g23376.t2	Tetwil_4_17
Tetwil_g23377.t1	Tetwil_4_18
Tetwil_g23378.t1	Tetwil_4_19
Tetwil_g23379.t1	Tetwil_4_20
Tetwil_g23380.t1	Tetwil_4_21
Tetwil_g23381.t2	Tetwil_4_22
Tetwil_g23382.t1	Tetwil_4_23
Tetwil_g23383.t2	Tetwil_4_24
Tetwil_g23384.t2	Tetwil_4_25
Tetwil_g23385.t2	Tetwil_4_26
Tetwil_g23386.t1	Tetwil_4_27
Tetwil_g23387.t2	Tetwil_4_28
Tetwil_g23388.t1	Tetwil_4_29
Tetwil_g23389.t1	Tetwil_4_30
Tetwil_g23390.t1	Tetwil_4_31
Tetwil_g23391.t2	Tetwil_4_32
Tetwil_g23392.t1	Tetwil_4_33
Tetwil_g23393.t1	Tetwil_4_34
Tetwil_g23394.t1	Tetwil_4_35
Tetwil_g23395.t2	Tetwil_4_36
Tetwil_g23396.t1	Tetwil_4_37
Tetwil_g23397.t2	Tetwil_4_38
Tetwil_g23398.t1	Tetwil_4_39
Tetwil_g23399.t2	Tetwil_4_40
Tetwil_g23400.t1	Tetwil_4_41
Tetwil_g23401.t2	Tetwil_4_42
Tetwil_g23402.t1	Tetwil_4_43
Tetwil_g23403.t1	Tetwil_4_44
Tetwil_g23404.t1	Tetwil_4_45
Tetwil_g23405.t2	Tetwil_4_46
Tetwil_g23406.t1	Tetwil_4_47
Tetwil_g23407.t1	Tetwil_4_48
Tetwil_g23408.t1	Tetwil_4_49
Tetwil_g23409.t1	Tetwil_4_50
Tetwil_g23410.t1	Tetwil_4_51
Tetwil_g23411.t1	Tetwil_4_52
Tetwil_g23412.t1	Tetwil_4_53
Tetwil_g23413.t2	Tetwil_4_54
Tetwil_g23414.t1	Tetwil_4_55
Tetwil_g23415.t1	Tetwil_4_56
Tetwil_g23416.t1	Tetwil_4_57
Tetwil_g23417.t2	Tetwil_4_58
Tetwil_g23418.t2	Tetwil_4_59
Tetwil_g23419.t2	Tetwil_4_60
Tetwil_g23420.t1	Tetwil_4_61
Tetwil_g23421.t1	Tetwil_4_62
Tetwil_g23422.t1	Tetwil_4_63
Tetwil_g23423.t1	Tetwil_4_64
Tetwil_g23424.t1	Tetwil_4_65
Tetwil_g23425.t1	Tetwil_4_66
Tetwil_g23426.t2	Tetwil_4_67
Tetwil_g23427.t1	Tetwil_4_68
Tetwil_g23428.t1	Tetwil_4_69
Tetwil_g23429.t1	Tetwil_4_70
Tetwil_g23430.t1	Tetwil_4_71
Tetwil_g23431.t1	Tetwil_4_72
Tetwil_g23432.t1	Tetwil_4_73
Tetwil_g23433.t1	Tetwil_4_74
Tetwil_g23434.t1	Tetwil_4_75
Tetwil_g23435.t1	Tetwil_4_76
Tetwil_g6329.t1	Tetwil_5_1
Tetwil_g6330.t1	Tetwil_5_2
Tetwil_g6331.t1	Tetwil_5_3
Tetwil_g6332.t1	Tetwil_5_4
Tetwil_g6333.t1	Tetwil_5_5
Tetwil_g6334.t1	Tetwil_5_6
Tetwil_g6335.t2	Tetwil_5_7
Tetwil_g6336.t2	Tetwil_5_8
Tetwil_g6337.t1	Tetwil_5_9
Tetwil_g6338.t1	Tetwil_5_10
Tetwil_g6339.t1	Tetwil_5_11
Tetwil_g6340.t1	Tetwil_5_12
Tetwil_g6341.t1	Tetwil_5_13
Tetwil_g6342.t1	Tetwil_5_14
Tetwil_g6343.t1	Tetwil_5_15
Tetwil_g6344.t2	Tetwil_5_16
Tetwil_g6345.t1	Tetwil_5_17
Tetwil_g6346.t1	Tetwil_5_18
Tetwil_g6347.t1	Tetwil_5_19
Tetwil_g6348.t2	Tetwil_5_20
Tetwil_g6349.t1	Tetwil_5_21
Tetwil_g6350.t1	Tetwil_5_22
Tetwil_g6351.t2	Tetwil_5_23
Tetwil_g6352.t1	Tetwil_5_24
Tetwil_g6353.t1	Tetwil_5_25
Tetwil_g6354.t1	Tetwil_5_26
Tetwil_g6355.t1	Tetwil_5_27
Tetwil_g6356.t1	Tetwil_5_28
Tetwil_g6357.t1	Tetwil_5_29
Tetwil_g6358.t1	Tetwil_5_30
Tetwil_g6359.t1	Tetwil_5_31
Tetwil_g6360.t2	Tetwil_5_32
Tetwil_g6361.t1	Tetwil_5_33
Tetwil_g6362.t1	Tetwil_5_34
Tetwil_g6363.t2	Tetwil_5_35
Tetwil_g6364.t1	Tetwil_5_36
Tetwil_g6365.t1	Tetwil_5_37
Tetwil_g6366.t2	Tetwil_5_38
Tetwil_g6367.t2	Tetwil_5_39
Tetwil_g6368.t1	Tetwil_5_40
Tetwil_g6369.t1	Tetwil_5_41
Tetwil_g6370.t1	Tetwil_5_42
Tetwil_g6371.t2	Tetwil_5_43
Tetwil_g6372.t1	Tetwil_5_44
Tetwil_g6373.t1	Tetwil_5_45
Tetwil_g6374.t1	Tetwil_5_46
Tetwil_g6375.t3	Tetwil_5_47
Tetwil_g6376.t1	Tetwil_5_48
