Porpur_gnl_WGS_VRMN_mrna.FVE85_5378	Porpur_1_323
Porpur_gnl_WGS_VRMN_mrna.FVE85_5379	Porpur_1_324
Porpur_gnl_WGS_VRMN_mrna.FVE85_5380	Porpur_1_325
Porpur_gnl_WGS_VRMN_mrna.FVE85_5381	Porpur_1_326
Porpur_gnl_WGS_VRMN_mrna.FVE85_5382	Porpur_1_327
Porpur_gnl_WGS_VRMN_mrna.FVE85_5383	Porpur_1_328
Porpur_gnl_WGS_VRMN_mrna.FVE85_5384	Porpur_1_329
Porpur_gnl_WGS_VRMN_mrna.FVE85_5385	Porpur_1_330
Porpur_gnl_WGS_VRMN_mrna.FVE85_5386	Porpur_1_331
Porpur_gnl_WGS_VRMN_mrna.FVE85_5387	Porpur_1_332
Porpur_gnl_WGS_VRMN_mrna.FVE85_5388	Porpur_1_333
Porpur_gnl_WGS_VRMN_mrna.FVE85_5389	Porpur_1_334
Porpur_gnl_WGS_VRMN_mrna.FVE85_5390	Porpur_1_335
Porpur_gnl_WGS_VRMN_mrna.FVE85_5391	Porpur_1_336
Porpur_gnl_WGS_VRMN_mrna.FVE85_5392	Porpur_1_337
Porpur_gnl_WGS_VRMN_mrna.FVE85_5393	Porpur_1_338
Porpur_gnl_WGS_VRMN_mrna.FVE85_5394	Porpur_1_339
Porpur_gnl_WGS_VRMN_mrna.FVE85_5395	Porpur_1_340
Porpur_gnl_WGS_VRMN_mrna.FVE85_5396	Porpur_1_341
Porpur_gnl_WGS_VRMN_mrna.FVE85_5397	Porpur_1_342
Porpur_gnl_WGS_VRMN_mrna.FVE85_5398	Porpur_1_343
Porpur_gnl_WGS_VRMN_mrna.FVE85_5399	Porpur_1_344
Porpur_gnl_WGS_VRMN_mrna.FVE85_5400	Porpur_1_345
Porpur_gnl_WGS_VRMN_mrna.FVE85_5401	Porpur_1_346
Porpur_gnl_WGS_VRMN_mrna.FVE85_5402	Porpur_1_347
Porpur_gnl_WGS_VRMN_mrna.FVE85_5403	Porpur_1_348
Porpur_gnl_WGS_VRMN_mrna.FVE85_5404	Porpur_1_349
Porpur_gnl_WGS_VRMN_mrna.FVE85_5405	Porpur_1_350
Porpur_gnl_WGS_VRMN_mrna.FVE85_5406	Porpur_1_351
Porpur_gnl_WGS_VRMN_mrna.FVE85_5407	Porpur_1_352
Porpur_gnl_WGS_VRMN_mrna.FVE85_5408	Porpur_1_353
Porpur_gnl_WGS_VRMN_mrna.FVE85_5409	Porpur_1_354
Porpur_gnl_WGS_VRMN_mrna.FVE85_5410	Porpur_1_355
Porpur_gnl_WGS_VRMN_mrna.FVE85_5411	Porpur_1_356
Porpur_gnl_WGS_VRMN_mrna.FVE85_5412	Porpur_1_357
Porpur_gnl_WGS_VRMN_mrna.FVE85_5413	Porpur_1_358
