Scer_YBR183W_mRNA	Scer_2_325
Scer_YBR184W_mRNA	Scer_2_326
Scer_YBR185C_mRNA	Scer_2_327
Scer_YBR186W_mRNA	Scer_2_328
Scer_YBR187W_mRNA	Scer_2_329
Scer_YBR188C_mRNA	Scer_2_330
Scer_YBR189W_mRNA	Scer_2_331
Scer_YBR190W_mRNA	Scer_2_332
Scer_YBR191W_mRNA	Scer_2_333
Scer_YBR191W-A_mRNA	Scer_2_334
Scer_YBR192W_mRNA	Scer_2_335
Scer_YBR193C_mRNA	Scer_2_336
Scer_YBR194W_mRNA	Scer_2_337
Scer_YBR195C_mRNA	Scer_2_338
Scer_YBR196C_mRNA	Scer_2_339
Scer_YBR196C-A_mRNA	Scer_2_340
Scer_YBR196C-B_mRNA	Scer_2_341
Scer_YBR197C_mRNA	Scer_2_342
Scer_YBR198C_mRNA	Scer_2_343
Scer_YBR199W_mRNA	Scer_2_344
Scer_YBR200W_mRNA	Scer_2_345
Scer_YBR200W-A_mRNA	Scer_2_346
Scer_YBR201W_mRNA	Scer_2_347
Scer_YBR201C-A_mRNA	Scer_2_348
Scer_YBR202W_mRNA	Scer_2_349
Scer_YBR203W_mRNA	Scer_2_350
Scer_YBR204C_mRNA	Scer_2_351
Scer_YBR205W_mRNA	Scer_2_352
Scer_YBR206W_mRNA	Scer_2_353
Scer_YBR207W_mRNA	Scer_2_354
Scer_YBR208C_mRNA	Scer_2_355
Scer_YBR209W_mRNA	Scer_2_356
Scer_YBR210W_mRNA	Scer_2_357
Scer_YBR211C_mRNA	Scer_2_358
Scer_YBR212W_mRNA	Scer_2_359
Scer_YBR213W_mRNA	Scer_2_360
Scer_YBR214W_mRNA	Scer_2_361
Scer_YBR215W_mRNA	Scer_2_362
Scer_YBR216C_mRNA	Scer_2_363
Scer_YBR217W_mRNA	Scer_2_364
Scer_YBR218C_mRNA	Scer_2_365
Scer_YBR219C_mRNA	Scer_2_366
Scer_YBR220C_mRNA	Scer_2_367
Scer_YBR221C_mRNA	Scer_2_368
Scer_YBR221W-A_mRNA	Scer_2_369
Scer_YBR222C_mRNA	Scer_2_370
Scer_YBR223C_mRNA	Scer_2_371
Scer_YBR223W-A_mRNA	Scer_2_372
Scer_YBR224W_mRNA	Scer_2_373
Scer_YBR225W_mRNA	Scer_2_374
Scer_YBR226C_mRNA	Scer_2_375
Scer_YBR227C_mRNA	Scer_2_376
Scer_YBR228W_mRNA	Scer_2_377
Scer_YBR229C_mRNA	Scer_2_378
Scer_YBR230C_mRNA	Scer_2_379
Scer_YBR230W-A_mRNA	Scer_2_380
Scer_YBR231C_mRNA	Scer_2_381
Scer_YBR232C_mRNA	Scer_2_382
Scer_YBR233W_mRNA	Scer_2_383
Scer_YBR233W-A_mRNA	Scer_2_384
Scer_YBR234C_mRNA	Scer_2_385
Scer_YBR235W_mRNA	Scer_2_386
Scer_YBR236C_mRNA	Scer_2_387
Scer_YBR237W_mRNA	Scer_2_388
Scer_YBR238C_mRNA	Scer_2_389
Scer_YBR239C_mRNA	Scer_2_390
Scer_YBR240C_mRNA	Scer_2_391
Scer_YBR241C_mRNA	Scer_2_392
Scer_YBR242W_mRNA	Scer_2_393
Scer_YBR243C_mRNA	Scer_2_394
Scer_YBR244W_mRNA	Scer_2_395
Scer_YBR245C_mRNA	Scer_2_396
Scer_YBR246W_mRNA	Scer_2_397
Scer_YBR247C_mRNA	Scer_2_398
Scer_YBR248C_mRNA	Scer_2_399
Scer_YBR249C_mRNA	Scer_2_400
Scer_YBR250W_mRNA	Scer_2_401
Scer_YBR251W_mRNA	Scer_2_402
Scer_YBR252W_mRNA	Scer_2_403
Scer_YBR253W_mRNA	Scer_2_404
Scer_YBR254C_mRNA	Scer_2_405
Scer_YBR255W_mRNA	Scer_2_406
Scer_YBR255C-A_mRNA	Scer_2_407
Scer_YBR256C_mRNA	Scer_2_408
Scer_YBR257W_mRNA	Scer_2_409
Scer_YBR258C_mRNA	Scer_2_410
Scer_YBR259W_mRNA	Scer_2_411
Scer_YBR260C_mRNA	Scer_2_412
Scer_YBR261C_mRNA	Scer_2_413
Scer_YBR262C_mRNA	Scer_2_414
Scer_YBR263W_mRNA	Scer_2_415
Scer_YBR264C_mRNA	Scer_2_416
Scer_YBR265W_mRNA	Scer_2_417
Scer_YBR267W_mRNA	Scer_2_418
Scer_YBR266C_mRNA	Scer_2_419
Scer_YBR268W_mRNA	Scer_2_420
Scer_YBR269C_mRNA	Scer_2_421
Scer_YBR270C_mRNA	Scer_2_422
Scer_YBR271W_mRNA	Scer_2_423
Scer_YBR272C_mRNA	Scer_2_424
Scer_YBR273C_mRNA	Scer_2_425
Scer_YBR274W_mRNA	Scer_2_426
Scer_YBR275C_mRNA	Scer_2_427
Scer_YBR276C_mRNA	Scer_2_428
Scer_YBR277C_mRNA	Scer_2_429
Scer_YBR278W_mRNA	Scer_2_430
Scer_YBR279W_mRNA	Scer_2_431
Scer_YBR280C_mRNA	Scer_2_432
Scer_YBR281C_mRNA	Scer_2_433
Scer_YBR282W_mRNA	Scer_2_434
Scer_YBR283C_mRNA	Scer_2_435
Scer_YBR284W_mRNA	Scer_2_436
Scer_YBR285W_mRNA	Scer_2_437
Scer_YBR286W_mRNA	Scer_2_438
Scer_YBR287W_mRNA	Scer_2_439
Scer_YBR288C_mRNA	Scer_2_440
Scer_YBR289W_mRNA	Scer_2_441
Scer_YBR290W_mRNA	Scer_2_442
Scer_YBR291C_mRNA	Scer_2_443
Scer_YBR292C_mRNA	Scer_2_444
Scer_YBR293W_mRNA	Scer_2_445
Scer_YBR294W_mRNA	Scer_2_446
Scer_YBR295W_mRNA	Scer_2_447
Scer_YBR296C_mRNA	Scer_2_448
Scer_YBR296C-A_mRNA	Scer_2_449
Scer_YBR297W_mRNA	Scer_2_450
Scer_YBR298C_mRNA	Scer_2_451
Scer_YBR298C-A_mRNA	Scer_2_452
Scer_YBR299W_mRNA	Scer_2_453
Scer_YBR300C_mRNA	Scer_2_454
Scer_YBR301W_mRNA	Scer_2_455
Scer_YBR302C_mRNA	Scer_2_456
Scer_YCL076W_mRNA	Scer_3_1
Scer_YCL073C_mRNA	Scer_3_2
Scer_YCL069W_mRNA	Scer_3_3
Scer_YCL068C_mRNA	Scer_3_4
Scer_YCL067C_mRNA	Scer_3_5
Scer_YCL066W_mRNA	Scer_3_6
Scer_YCL065W_mRNA	Scer_3_7
Scer_YCL064C_mRNA	Scer_3_8
Scer_YCL063W_mRNA	Scer_3_9
Scer_YCL061C_mRNA	Scer_3_10
Scer_YCL059C_mRNA	Scer_3_11
Scer_YCL058C_mRNA	Scer_3_12
Scer_YCL058W-A_mRNA	Scer_3_13
Scer_YCL057C-A_mRNA	Scer_3_14
Scer_YCL057W_mRNA	Scer_3_15
Scer_YCL056C_mRNA	Scer_3_16
Scer_YCL055W_mRNA	Scer_3_17
Scer_YCL054W-A_mRNA	Scer_3_18
Scer_YCL054W_mRNA	Scer_3_19
Scer_YCL052C_mRNA	Scer_3_20
Scer_YCL051W_mRNA	Scer_3_21
Scer_YCL050C_mRNA	Scer_3_22
Scer_YCL049C_mRNA	Scer_3_23
Scer_YCL048W-A_mRNA	Scer_3_24
Scer_YCL048W_mRNA	Scer_3_25
Scer_YCL047C_mRNA	Scer_3_26
Scer_YCL045C_mRNA	Scer_3_27
Scer_YCL046W_mRNA	Scer_3_28
Scer_YCL044C_mRNA	Scer_3_29
