Ncra_EAA35088	Ncra_1_449
Ncra_EAA35087	Ncra_1_450
Ncra_ESA43845	Ncra_1_451
Ncra_EAA35005	Ncra_1_452
Ncra_EAA35004	Ncra_1_453
Ncra_EAA35003	Ncra_1_454
Ncra_EAA35002	Ncra_1_455
Ncra_EAA35001	Ncra_1_456
Ncra_EAA34999	Ncra_1_457
Ncra_EAA34998	Ncra_1_458
Ncra_EAA34997	Ncra_1_459
Ncra_EAA34996	Ncra_1_460
Ncra_EAA34995	Ncra_1_461
Ncra_ESA43847	Ncra_1_462
Ncra_ESA43848	Ncra_1_463
Ncra_EAA34992	Ncra_1_464
Ncra_ESA43849	Ncra_1_465
Ncra_EAA34990	Ncra_1_466
Ncra_EAA34988	Ncra_1_467
Ncra_EAA34887	Ncra_1_468
Ncra_ESA43851	Ncra_1_469
Ncra_EAA34884	Ncra_1_470
Ncra_ESA43852	Ncra_1_471
Ncra_EAA34883	Ncra_1_472
Ncra_EAA34880	Ncra_1_473
Ncra_ESA43853	Ncra_1_474
Ncra_EAA34879	Ncra_1_475
Ncra_EAA34878	Ncra_1_476
Ncra_EAA34877	Ncra_1_477
Ncra_EAA34876	Ncra_1_478
Ncra_ESA43854	Ncra_1_479
Ncra_ESA43856	Ncra_1_480
Ncra_ESA43858	Ncra_1_481
Ncra_EAA36318	Ncra_1_482
Ncra_EAA36317	Ncra_1_483
Ncra_EDO65460	Ncra_1_484
Ncra_ESA43860	Ncra_1_485
Ncra_EDO65459	Ncra_1_486
Ncra_EAA36315	Ncra_1_487
Ncra_EAA36314	Ncra_1_488
Ncra_EAA36313	Ncra_1_489
Ncra_EAA36312	Ncra_1_490
Ncra_EAA36311	Ncra_1_491
Ncra_EAA36309	Ncra_1_492
Ncra_EAA36308	Ncra_1_493
Ncra_ESA43861	Ncra_1_494
Ncra_EAA36306	Ncra_1_495
Ncra_EAA36305	Ncra_1_496
Ncra_EAA36303	Ncra_1_497
Ncra_EAA36302	Ncra_1_498
Ncra_EAA36301	Ncra_1_499
Ncra_EAA36300	Ncra_1_500
Ncra_EAA36299	Ncra_1_501
Ncra_EAA36298	Ncra_1_502
Ncra_ESA43863	Ncra_1_503
Ncra_EAA36297	Ncra_1_504
Ncra_EAA36296	Ncra_1_505
Ncra_EAA36295	Ncra_1_506
Ncra_EAA36294	Ncra_1_507
Ncra_ESA43864	Ncra_1_508
Ncra_ESA43865	Ncra_1_509
Ncra_EAA36292	Ncra_1_510
Ncra_EAA36291	Ncra_1_511
Ncra_ESA43867	Ncra_1_512
Ncra_EAA36289	Ncra_1_513
Ncra_EAA36288	Ncra_1_514
Ncra_EAA36286	Ncra_1_515
Ncra_EAA36284	Ncra_1_516
Ncra_ESA43869	Ncra_1_517
Ncra_EAA36281	Ncra_1_518
Ncra_EDO65458	Ncra_1_519
Ncra_EAA36279	Ncra_1_520
Ncra_EAA36278	Ncra_1_521
Ncra_ESA43871	Ncra_1_522
Ncra_ESA43873	Ncra_1_523
Ncra_ESA43874	Ncra_1_524
Ncra_EAA36275	Ncra_1_525
Ncra_EAA36274	Ncra_1_526
Ncra_EAA36273	Ncra_1_527
Ncra_EAA36272	Ncra_1_528
Ncra_EAA36271	Ncra_1_529
Ncra_EAA36270	Ncra_1_530
Ncra_EAA36269	Ncra_1_531
Ncra_ESA43876	Ncra_1_532
Ncra_EAA36268	Ncra_1_533
Ncra_EAA36267	Ncra_1_534
Ncra_ESA43877	Ncra_1_535
Ncra_EAA36265	Ncra_1_536
Ncra_EAA36264	Ncra_1_537
Ncra_EAA36263	Ncra_1_538
Ncra_EAA36262	Ncra_1_539
Ncra_EAA36261	Ncra_1_540
Ncra_EAA36260	Ncra_1_541
Ncra_ESA43879	Ncra_1_542
Ncra_EAA36258	Ncra_1_543
Ncra_EAA36257	Ncra_1_544
Ncra_EAA36256	Ncra_1_545
Ncra_EAA36255	Ncra_1_546
Ncra_EAA36254	Ncra_1_547
Ncra_EAA36253	Ncra_1_548
Ncra_EAA36252	Ncra_1_549
Ncra_EAA36251	Ncra_1_550
Ncra_ESA43880	Ncra_1_551
Ncra_EAA34653	Ncra_1_552
Ncra_ESA43881	Ncra_1_553
Ncra_EAA34651	Ncra_1_554
Ncra_ESA43883	Ncra_1_555
Ncra_EAA34649	Ncra_1_556
Ncra_EAA34648	Ncra_1_557
Ncra_EAA34647	Ncra_1_558
Ncra_EAA34646	Ncra_1_559
Ncra_EAA28852	Ncra_1_560
Ncra_EAA28853	Ncra_1_561
Ncra_EAA28854	Ncra_1_562
Ncra_EAA28855	Ncra_1_563
Ncra_ESA43884	Ncra_1_564
Ncra_ESA43886	Ncra_1_565
Ncra_EAA28858	Ncra_1_566
Ncra_EAA28859	Ncra_1_567
Ncra_EAA28860	Ncra_1_568
Ncra_EAA28727	Ncra_1_569
Ncra_EAA28728	Ncra_1_570
Ncra_EAA28729	Ncra_1_571
Ncra_EAA35821	Ncra_1_572
Ncra_EAA35822	Ncra_1_573
Ncra_EAA35823	Ncra_1_574
Ncra_ESA43889	Ncra_1_575
Ncra_EAA35825	Ncra_1_576
Ncra_EAA35826	Ncra_1_577
Ncra_EAA35828	Ncra_1_578
Ncra_ESA43891	Ncra_1_579
Ncra_EAA35830	Ncra_1_580
Ncra_EAA35831	Ncra_1_581
Ncra_EAA35832	Ncra_1_582
Ncra_EAA35833	Ncra_1_583
Ncra_EAA35834	Ncra_1_584
Ncra_EAA35835	Ncra_1_585
Ncra_EAA35836	Ncra_1_586
Ncra_EAA35837	Ncra_1_587
Ncra_ESA43892	Ncra_1_588
Ncra_EAA35839	Ncra_1_589
Ncra_ESA43894	Ncra_1_590
Ncra_EAA35841	Ncra_1_591
Ncra_EAA35843	Ncra_1_592
Ncra_EAA35844	Ncra_1_593
Ncra_EAA35845	Ncra_1_594
Ncra_EAA35846	Ncra_1_595
Ncra_EAA35847	Ncra_1_596
Ncra_ESA43897	Ncra_1_597
Ncra_EAA35848	Ncra_1_598
Ncra_EAA35849	Ncra_1_599
Ncra_EAA35850	Ncra_1_600
Ncra_EAA35851	Ncra_1_601
Ncra_EAA35852	Ncra_1_602
Ncra_EAA35853	Ncra_1_603
Ncra_EAA35854	Ncra_1_604
Ncra_EAA35855	Ncra_1_605
Ncra_EAA35856	Ncra_1_606
Ncra_EAA35857	Ncra_1_607
Ncra_EAA35858	Ncra_1_608
Ncra_EAA35859	Ncra_1_609
Ncra_EAA35860	Ncra_1_610
Ncra_EAA35861	Ncra_1_611
Ncra_EAA35862	Ncra_1_612
Ncra_EAA36400	Ncra_1_613
Ncra_EAA36402	Ncra_1_614
Ncra_EAA36403	Ncra_1_615
Ncra_EAA36404	Ncra_1_616
Ncra_EAA36405	Ncra_1_617
Ncra_EAA36406	Ncra_1_618
Ncra_EAA36407	Ncra_1_619
Ncra_EAA36408	Ncra_1_620
Ncra_EAA36409	Ncra_1_621
Ncra_ESA43898	Ncra_1_622
Ncra_EAA36410	Ncra_1_623
Ncra_EAA36411	Ncra_1_624
Ncra_ESA43899	Ncra_1_625
Ncra_EAA36412	Ncra_1_626
Ncra_EDO65328	Ncra_1_627
Ncra_EDO65327	Ncra_1_628
Ncra_EAA36414	Ncra_1_629
Ncra_EAA36415	Ncra_1_630
Ncra_EAA36416	Ncra_1_631
Ncra_EAA36417	Ncra_1_632
Ncra_EAA36418	Ncra_1_633
Ncra_EAA36419	Ncra_1_634
Ncra_EAA36420	Ncra_1_635
Ncra_EAA36421	Ncra_1_636
Ncra_ESA43900	Ncra_1_637
Ncra_EAA36422	Ncra_1_638
Ncra_EAA36423	Ncra_1_639
Ncra_EAA36424	Ncra_1_640
Ncra_EAA36425	Ncra_1_641
Ncra_EAA36426	Ncra_1_642
Ncra_ESA43901	Ncra_1_643
Ncra_EAA36428	Ncra_1_644
Ncra_EAA36429	Ncra_1_645
Ncra_EAA36430	Ncra_1_646
Ncra_EAA36431	Ncra_1_647
Ncra_ESA43903	Ncra_1_648
Ncra_ESA43904	Ncra_1_649
Ncra_EDO65325	Ncra_1_650
Ncra_EAA36433	Ncra_1_651
Ncra_EAA36434	Ncra_1_652
Ncra_EAA36435	Ncra_1_653
Ncra_EAA36436	Ncra_1_654
Ncra_ESA43907	Ncra_1_655
Ncra_EAA36438	Ncra_1_656
Ncra_EAA36439	Ncra_1_657
Ncra_EAA36440	Ncra_1_658
Ncra_EAA36441	Ncra_1_659
Ncra_ESA43909	Ncra_1_660
Ncra_EAA36443	Ncra_1_661
Ncra_EAA36444	Ncra_1_662
Ncra_EAA36445	Ncra_1_663
Ncra_ESA43911	Ncra_1_664
Ncra_EAA36447	Ncra_1_665
Ncra_EAA36448	Ncra_1_666
Ncra_EAA36449	Ncra_1_667
Ncra_EAA36450	Ncra_1_668
Ncra_ESA43912	Ncra_1_669
Ncra_ESA43913	Ncra_1_670
Ncra_EAA36451	Ncra_1_671
Ncra_EAA36453	Ncra_1_672
Ncra_EAA36454	Ncra_1_673
Ncra_EAA36455	Ncra_1_674
Ncra_EAA36456	Ncra_1_675
Ncra_EAA36457	Ncra_1_676
Ncra_EAA36458	Ncra_1_677
Ncra_EAA36459	Ncra_1_678
Ncra_EAA36460	Ncra_1_679
Ncra_EAA36461	Ncra_1_680
Ncra_EAA36462	Ncra_1_681
Ncra_EAA36463	Ncra_1_682
Ncra_ESA43914	Ncra_1_683
Ncra_EAA36464	Ncra_1_684
Ncra_EAA36465	Ncra_1_685
Ncra_EAA36466	Ncra_1_686
Ncra_EAA36467	Ncra_1_687
Ncra_ESA43916	Ncra_1_688
Ncra_EAA36469	Ncra_1_689
Ncra_EAA36470	Ncra_1_690
Ncra_ESA43918	Ncra_1_691
Ncra_EAA36472	Ncra_1_692
Ncra_ESA43920	Ncra_1_693
Ncra_EAA36474	Ncra_1_694
Ncra_EAA36475	Ncra_1_695
Ncra_EAA36477	Ncra_1_696
Ncra_ESA43922	Ncra_1_697
Ncra_EAA36479	Ncra_1_698
Ncra_EAA36480	Ncra_1_699
