Atha_AT2G44680.1	CKB4
Atha_AT2G44680.3	CKB4
Atha_AT1G03470.4	NET3A
Atha_AT1G03470.1	NET3A
Atha_AT1G03470.3	NET3A
Atha_AT1G03470.2	NET3A
Atha_AT2G04430.1	NUDT5
Atha_AT2G04430.2	NUDT5
Atha_AT3G47810.3	VPS29
Atha_AT3G47810.1	VPS29
Atha_AT3G47810.2	VPS29
Atha_AT5G03730.1	CTR1
Atha_AT5G03730.2	CTR1
Atha_AT3G55620.1	EIF6-2
Atha_AT4G10595.1	LCR2
Atha_AT3G10660.1	CPK2
Atha_AT3G10660.2	CPK2
Atha_AT1G63680.2	ATMURE
Atha_AT1G63680.3	ATMURE
Atha_AT1G63680.1	ATMURE
Atha_AT1G63450.1	GT16
Atha_AT1G74740.1	CPK30
Atha_AT2G01530.1	MLP329
Atha_AT5G46000.1	JAL45
Atha_AT3G21720.1	ICL
Atha_AT1G42560.1	MLO9
Atha_AT1G42560.2	MLO9
Atha_AT4G13250.2	NYC1
Atha_AT4G13250.1	NYC1
Atha_AT2G28800.2	ALB3
Atha_AT2G28800.3	ALB3
Atha_AT2G28800.4	ALB3
Atha_AT2G28800.1	ALB3
Atha_AT4G37130.1	NUP58
Atha_AT3G60750.2	TKL-1
Atha_AT3G60750.1	TKL-1
Atha_AT4G30810.1	SCPL29
Atha_AT5G64610.1	HAM1
Atha_AT2G21330.2	FBA1
Atha_AT2G21330.3	FBA1
Atha_AT2G21330.1	FBA1
Atha_AT5G08340.2	RIBF2
Atha_AT5G08340.1	RIBF2
Atha_AT5G51940.1	NRPB6A
Atha_AT2G30240.1	CHX13
Atha_AT5G66990.1	RKD3
Atha_AT4G29650.1	CDA4
Atha_AT3G09410.3	PAE5
Atha_AT3G09410.1	PAE5
Atha_AT1G51355.1	SMR9
Atha_AT2G21880.1	RABG2
Atha_AT2G21880.3	RABG2
Atha_AT2G21880.4	RABG2
Atha_AT2G21880.2	RABG2
Atha_AT3G18080.1	BGLU44
Atha_AT3G54250.2	MVD2
Atha_AT3G54250.1	MVD2
Atha_AT3G01340.2	SEC13A
Atha_AT3G01340.1	SEC13A
Atha_AT4G13300.1	TPS13
Atha_AT5G43630.1	TZP
Atha_AT5G43630.3	TZP
Atha_AT5G43630.4	TZP
Atha_AT5G43630.2	TZP
Atha_AT4G10180.1	DET1
Atha_AT3G60770.1	RPS13A
Atha_AT1G18400.2	BEE1
Atha_AT1G18400.1	BEE1
Atha_AT5G17890.1	DAR4
Atha_AT5G39550.1	ORTH1
Atha_AT2G35990.1	LOG2
Atha_AT2G35990.2	LOG2
Atha_AT2G35990.3	LOG2
Atha_AT2G02480.1	STI
Atha_AT2G02480.2	STI
Atha_AT2G39880.1	MYB25
Atha_AT3G02940.3	MYB107
Atha_AT3G02940.2	MYB107
Atha_AT3G02940.1	MYB107
Atha_AT5G08380.2	AGAL1
Atha_AT5G08380.1	AGAL1
Atha_AT4G29658.1	PRA1.C
Atha_AT4G29658.2	PRA1.C
Atha_AT1G64860.2	SIGA
Atha_AT1G64860.1	SIGA
Atha_AT4G11910.1	SGR2
Atha_AT3G06810.1	IBR3
Atha_AT1G65390.1	PP2A5
Atha_AT1G65390.3	PP2A5
Atha_AT1G65390.2	PP2A5
Atha_AT1G59610.1	DRP2B
Atha_AT1G54050.2	HSP17.4B
Atha_AT1G54050.1	HSP17.4B
Atha_AT1G35260.1	MLP165
Atha_AT5G50230.1	ATG16
Atha_AT1G63180.2	UGE3
Atha_AT1G63180.1	UGE3
Atha_AT5G55480.1	GDPDL4
Atha_AT5G51970.2	SDH
Atha_AT5G51970.1	SDH
Atha_AT5G16260.1	ELF9
Atha_AT3G16270.3	MTV1
Atha_AT3G16270.1	MTV1
Atha_AT3G16270.2	MTV1
Atha_AT3G23165.1	LCR42
Atha_AT3G52200.2	LTA3
Atha_AT3G52200.1	LTA3
Atha_AT5G02560.2	HTA12
Atha_AT5G02560.1	HTA12
Atha_AT1G31810.1	FH14
Atha_AT1G31810.2	FH14
Atha_AT4G32810.1	CCD8
Atha_AT4G32810.2	CCD8
Atha_AT5G51750.1	SBT1.3
Atha_AT1G60600.1	ABC4
Atha_AT1G60600.2	ABC4
Atha_AT3G61130.1	GAUT1
Atha_AT3G01040.1	GAUT13
Atha_AT3G01040.3	GAUT13
Atha_AT3G01040.2	GAUT13
Atha_AT2G15570.2	ATHM3
