Scer_YLR147C	SMD3
Scer_YDL224C	WHI4
Scer_YHR162W	MPC2
Scer_YGR229C	SMI1
Scer_YLR005W	SSL1
Scer_YDR082W	STN1
Scer_YJL124C	LSM1
Scer_YDR216W	ADR1
Scer_YCR068W	ATG15
Scer_YNL083W	SAL1
Scer_YKL106W	AAT1
Scer_YLR115W	CFT2
Scer_YDR325W	YCG1
Scer_YGL249W	ZIP2
Scer_YJL053W	PEP8
Scer_YDR372C	VPS74
Scer_YGR173W	RBG2
Scer_YAR042W	SWH1
Scer_YPL273W	SAM4
Scer_YDL222C	FMP45
Scer_YIL087C	AIM19
Scer_YNR027W	BUD17
Scer_YCR095C	OCA4
Scer_YER162C	RAD4
Scer_YER090W	TRP2
Scer_YGL215W	CLG1
Scer_YFL025C	BST1
Scer_YLR208W	SEC13
Scer_YHR030C	SLT2
Scer_YDR395W	SXM1
Scer_YMR282C	AEP2
Scer_YMR056C	AAC1
Scer_YPL203W	TPK2
Scer_YIL041W	GVP36
Scer_YDL210W	UGA4
Scer_YGL005C	COG7
Scer_YBR015C	MNN2
Scer_YLL039C	UBI4
Scer_YPL214C	THI6
Scer_YGL007W	BRP1
Scer_YFR025C	HIS2
Scer_YGL245W	GUS1
Scer_YDR464W	SPP41
Scer_YBR037C	SCO1
Scer_YAL068C	PAU8
Scer_YGL141W	HUL5
Scer_YGL251C	HFM1
Scer_YPR091C	NVJ2
Scer_YJL116C	NCA3
Scer_YDR341C	YDR341C
Scer_YKL012W	PRP40
Scer_YBL078C	ATG8
Scer_YGR234W	YHB1
Scer_YPL117C	IDI1
Scer_YPL120W	VPS30
Scer_YMR153W	NUP53
Scer_YGR267C	FOL2
Scer_YJR003C	MRX12
Scer_YHR193C	EGD2
Scer_YPL048W	CAM1
Scer_YNL132W	KRE33
Scer_YOL080C	REX4
Scer_YPL083C	SEN54
Scer_YGR271C-A	EFG1
Scer_YDR419W	RAD30
Scer_YIR009W	MSL1
Scer_YOR254C	SEC63
Scer_YCL066W	HMLALPHA1
Scer_YKR020W	VPS51
Scer_YIL033C	BCY1
Scer_YJL115W	ASF1
Scer_YPR041W	TIF5
Scer_YIR010W	DSN1
Scer_YOR147W	MDM32
Scer_YNL172W	APC1
Scer_YGL053W	PRM8
Scer_YKL042W	SPC42
Scer_YGR253C	PUP2
Scer_YHR159W	TDA11
Scer_YHR199C	AIM46
Scer_YBR185C	MBA1
Scer_YKL037W	AIM26
Scer_YDR423C	CAD1
Scer_YJL035C	TAD2
Scer_YOL093W	TRM10
Scer_YDR017C	KCS1
Scer_YIL036W	CST6
Scer_YJR089W	BIR1
Scer_YPL124W	SPC29
Scer_YLR354C	TAL1
Scer_YJL042W	MHP1
Scer_YDR005C	MAF1
Scer_YJR107W	LIH1
Scer_YLR422W	DCK1
Scer_YDR098C	GRX3
Scer_YKR030W	GMH1
Scer_YPL232W	SSO1
Scer_YGL135W	RPL1B
Scer_YDR280W	RRP45
Scer_YJL154C	VPS35
Scer_YIL113W	SDP1
Scer_YLR387C	REH1
Scer_YDR328C	SKP1
Scer_YJL155C	FBP26
Scer_YOR109W	INP53
Scer_YLR386W	VAC14
Scer_YDR185C	UPS3
Scer_YHR129C	ARP1
Scer_YNR010W	CSE2
Scer_YIR007W	EGH1
Scer_YJL004C	SYS1
Scer_YDL042C	SIR2
Scer_YGL069C	YGL069C
Scer_YPL095C	EEB1
Scer_YKL159C	RCN1
Scer_YFR037C	RSC8
Scer_YKL161C	KDX1
Scer_YLR061W	RPL22A
Scer_YNL330C	RPD3
Scer_YHL011C	PRS3
Scer_YIL114C	POR2
Scer_YPL243W	SRP68
Scer_YNL016W	PUB1
Scer_YEL009C	GCN4
Scer_YNL316C	PHA2
Scer_YNR003C	RPC34
Scer_YLR380W	CSR1
Scer_YNL113W	RPC19
Scer_YKL079W	SMY1
Scer_YDR056C	EMC10
Scer_YDL240W	LRG1
Scer_YJR102C	VPS25
Scer_YKR095W-A	PCC1
Scer_YPR138C	MEP3
Scer_YGL221C	NIF3
Scer_YOR028C	CIN5
Scer_YBR186W	PCH2
Scer_YOR080W	DIA2
Scer_YBL006C	LDB7
Scer_YOR235W	IRC13
Scer_YER036C	ARB1
Scer_YLR442C	SIR3
Scer_YLR024C	UBR2
Scer_YIL013C	PDR11
Scer_YLR396C	VPS33
Scer_YEL056W	HAT2
Scer_YER140W	EMP65
Scer_YNL298W	CLA4
Scer_YPR055W	SEC8
Scer_YOL126C	MDH2
Scer_YPL206C	PGC1
Scer_YIR006C	PAN1
Scer_YGL205W	POX1
Scer_YOL121C	RPS19A
Scer_YLR183C	TOS4
Scer_YIL145C	PAN6
Scer_YNL139C	THO2
Scer_YBR274W	CHK1
Scer_YJL071W	ARG2
Scer_YLL028W	TPO1
Scer_YGR189C	CRH1
Scer_YHR152W	SPO12
Scer_YPL283C	YRF1-7
Scer_YJR118C	ILM1
Scer_YLR130C	ZRT2
Scer_YDR184C	ATC1
Scer_YPL268W	PLC1
Scer_YGR185C	TYS1
Scer_YOR016C	ERP4
Scer_YHR039C	MSC7
Scer_YPL021W	ECM23
Scer_YNL047C	SLM2
Scer_YDR122W	KIN1
Scer_YBR235W	VHC1
Scer_YHR114W	BZZ1
Scer_YLR306W	UBC12
Scer_YDR054C	CDC34
Scer_YOR138C	RUP1
Scer_YLR351C	NIT3
Scer_YKR077W	MSA2
Scer_YMR032W	HOF1
Scer_YMR228W	MTF1
Scer_YLR242C	ARV1
Scer_YJR123W	RPS5
Scer_YOL068C	HST1
