Dmel_FBpp0290229	CG34148
Dmel_FBpp0070831	CG5966
Dmel_FBpp0309959	CG5966
Dmel_FBpp0071010	CG18155
Dmel_FBpp0297443	Mvl
Dmel_FBpp0303079	Mvl
Dmel_FBpp0290693	Mvl
Dmel_FBpp0297444	Mvl
Dmel_FBpp0088507	Mvl
Dmel_FBpp0290692	Mvl
Dmel_FBpp0077665	Hsp60B
Dmel_FBpp0075644	mirr
Dmel_FBpp0075643	mirr
Dmel_FBpp0303110	mirr
Dmel_FBpp0302733	CG14395
Dmel_FBpp0307037	CG14395
Dmel_FBpp0307038	CG14395
Dmel_FBpp0307036	CG14395
Dmel_FBpp0307039	CG14395
Dmel_FBpp0307034	CG14395
Dmel_FBpp0307035	CG14395
Dmel_FBpp0289993	CG14395
Dmel_FBpp0081794	CG31373
Dmel_FBpp0080128	CG7968
Dmel_FBpp0074758	Bet1
Dmel_FBpp0074757	Bet1
Dmel_FBpp0072497	hng3
Dmel_FBpp0304156	hng3
Dmel_FBpp0081882	mgr
Dmel_FBpp0075430	CG9628
Dmel_FBpp0290457	CG9628
Dmel_FBpp0075429	CG9628
Dmel_FBpp0311719	CG18870
Dmel_FBpp0071605	CG18870
Dmel_FBpp0307825	smp-30
Dmel_FBpp0082475	smp-30
Dmel_FBpp0307826	smp-30
Dmel_FBpp0082476	smp-30
Dmel_FBpp0076421	CG8006
Dmel_FBpp0312445	Damm
Dmel_FBpp0087167	Damm
Dmel_FBpp0304518	kek1
Dmel_FBpp0312315	kek1
Dmel_FBpp0288472	Spt
Dmel_FBpp0070037	alpha-Cat
Dmel_FBpp0308926	alpha-Cat
Dmel_FBpp0082570	Trs33
Dmel_FBpp0077622	CG4577
Dmel_FBpp0304560	CG4577
Dmel_FBpp0076315	CG32023
Dmel_FBpp0288414	CG14860
Dmel_FBpp0085848	CG15065
Dmel_FBpp0073715	yl
Dmel_FBpp0073714	yl
Dmel_FBpp0072954	CG12078
Dmel_FBpp0300408	CG12078
Dmel_FBpp0087668	VhaAC45
Dmel_FBpp0087669	VhaAC45
Dmel_FBpp0071747	CG11362
Dmel_FBpp0084203	CG13659
Dmel_FBpp0071279	Ost48
Dmel_FBpp0079102	Ntl
Dmel_FBpp0079103	Ntl
Dmel_FBpp0080719	l(2)37Bb
Dmel_FBpp0073304	Gapvd1
Dmel_FBpp0082957	Atg8b
Dmel_FBpp0312339	Atg8b
Dmel_FBpp0312130	CG30058
Dmel_FBpp0290853	CG30058
Dmel_FBpp0075335	Eig71Ej
Dmel_FBpp0303583	CG43759
Dmel_FBpp0310434	CG43759
Dmel_FBpp0303584	CG43759
Dmel_FBpp0305209	CG43759
Dmel_FBpp0076028	can
Dmel_FBpp0083160	CG5555
Dmel_FBpp0304474	CG5555
Dmel_FBpp0083144	Cyp12a5
Dmel_FBpp0070362	csw
Dmel_FBpp0070364	csw
Dmel_FBpp0070363	csw
Dmel_FBpp0305458	csw
Dmel_FBpp0086492	CG8180
Dmel_FBpp0311542	CG8180
Dmel_FBpp0309022	CG8180
Dmel_FBpp0070458	CG2681
Dmel_FBpp0112948	Hr51
Dmel_FBpp0084756	rdog
Dmel_FBpp0084755	rdog
Dmel_FBpp0292121	CG42714
Dmel_FBpp0070471	Syx4
Dmel_FBpp0304772	Syx4
Dmel_FBpp0298021	Pfrx
Dmel_FBpp0074488	Pfrx
Dmel_FBpp0074486	Pfrx
Dmel_FBpp0074487	Pfrx
Dmel_FBpp0298023	Pfrx
Dmel_FBpp0308526	Pfrx
Dmel_FBpp0074482	Pfrx
Dmel_FBpp0074485	Pfrx
Dmel_FBpp0074489	Pfrx
Dmel_FBpp0074483	Pfrx
Dmel_FBpp0074484	Pfrx
Dmel_FBpp0298022	Pfrx
Dmel_FBpp0308527	Pfrx
Dmel_FBpp0301984	disco-r
Dmel_FBpp0301986	disco-r
Dmel_FBpp0074029	disco-r
Dmel_FBpp0301985	disco-r
Dmel_FBpp0311601	CG13177
Dmel_FBpp0111684	CG13177
Dmel_FBpp0111659	CG34443
Dmel_FBpp0078159	CG11425
Dmel_FBpp0290159	CG10077
Dmel_FBpp0076649	CG10077
Dmel_FBpp0305296	CG10077
Dmel_FBpp0289770	TMEM216
Dmel_FBpp0289771	TMEM216
Dmel_FBpp0081388	TMEM216
Dmel_FBpp0312401	Sry-beta
Dmel_FBpp0084922	Sry-beta
Dmel_FBpp0083029	mTerf5
Dmel_FBpp0079279	Akap200
Dmel_FBpp0079280	Akap200
Dmel_FBpp0309214	Akap200
Dmel_FBpp0079282	Akap200
Dmel_FBpp0079281	Akap200
Dmel_FBpp0309215	Akap200
Dmel_FBpp0309213	Akap200
Dmel_FBpp0291732	yellow-e2
Dmel_FBpp0309547	firl
Dmel_FBpp0291239	firl
Dmel_FBpp0293789	firl
Dmel_FBpp0311520	CG11279
Dmel_FBpp0304387	CG11279
Dmel_FBpp0075621	CG11279
Dmel_FBpp0301790	CG43647
Dmel_FBpp0072445	CG1231
Dmel_FBpp0081757	CG14687
Dmel_FBpp0083697	Cyp6d4
Dmel_FBpp0081465	CG16736
Dmel_FBpp0080284	CIAPIN1
Dmel_FBpp0288889	CG42271
Dmel_FBpp0288890	CG42271
Dmel_FBpp0077066	CG32500
Dmel_FBpp0082937	pasi1
Dmel_FBpp0293544	pasi1
Dmel_FBpp0292730	CG33771
Dmel_FBpp0310366	CG43339
Dmel_FBpp0297773	CG43339
Dmel_FBpp0308448	spaw
Dmel_FBpp0087851	spaw
Dmel_FBpp0081641	Snap24
Dmel_FBpp0074335	CG6290
Dmel_FBpp0304957	CG7519
Dmel_FBpp0078009	CG7519
Dmel_FBpp0085872	slim
Dmel_FBpp0304290	slim
Dmel_FBpp0290239	CG33203
Dmel_FBpp0290238	CG33203
Dmel_FBpp0303334	CG33203
Dmel_FBpp0079070	CG15818
Dmel_FBpp0073059	CG1136
Dmel_FBpp0071688	ari-2
Dmel_FBpp0071580	ND-B12
