Amobb2_AMBB2_00554.mRNA.7	SNF2_N Helicase_C Med26
Amobb2_AMBB2_01590.mRNA.1	SNF2_N Helicase_C
Amobb2_AMBB2_01903.mRNA.1	SNF2_N zf-C3HC4_3 Helicase_C
Amobb2_AMBB2_02209.mRNA.1	SNF2_N Helicase_C SnAC Bromodomain
Amobb2_AMBB2_02388.mRNA.1	SNF2_N zf-C3HC4_2 Helicase_C
Amobb2_AMBB2_02483.mRNA.1	SNF2_N Helicase_C RRM_1 HAND SLIDE
Amobb2_AMBB2_02729.mRNA.1	DEAD
Amobb2_AMBB2_02973.mRNA.1	SNF2_N
Amobb2_AMBB2_03313.mRNA.1	SNF2_N Helicase_C Myb_DNA-binding
Amobb2_AMBB2_05421.mRNA.1	SNF2_N Helicase_C
Amobb2_AMBB2_07308.mRNA.1	Chromo SNF2_N Helicase_C Rad60-SLD
Amobb2_AMBB2_08459.mRNA.1	Chromo SNF2_N Helicase_C
Amobb2_AMBB2_09157.mRNA.1	Chromo Chromo SNF2_N Helicase_C
Amobb2_AMBB2_09355.mRNA.1	SNF2_N Helicase_C
Amobb2_AMBB2_09355.mRNA.2	SNF2_N Helicase_C
Amobb2_AMBB2_09642.mRNA.1	SNF2_N Helicase_C
Amobb2_AMBB2_09642.mRNA.2	SNF2_N Helicase_C
Amobb2_AMBB2_10188.mRNA.1	SNF2_N Helicase_C
Amobb2_AMBB2_10188.mRNA.2	SNF2_N Helicase_C
Amobb2_AMBB2_10418.mRNA.1	Chromo Chromo SNF2_N
Amobb2_AMBB2_10418.mRNA.2	Chromo Chromo SNF2_N
Amobb2_AMBB2_10892.mRNA.1	QLQ HSA SNF2_N Helicase_C SnAC Bromodomain
Amobb2_AMBB2_10892.mRNA.2	QLQ HSA SNF2_N Helicase_C SnAC Bromodomain
Amobb2_AMBB2_10892.mRNA.3	QLQ HSA SNF2_N Helicase_C SnAC Bromodomain
Amobb2_AMBB2_10896.mRNA.1	HSA SNF2_N Helicase_C
Amobb2_AMBB2_12589.mRNA.1	SNF2_N Helicase_C BRCT_2
Amobb2_AMBB2_13389.mRNA.1	DBINO SNF2_N Helicase_C
Amobb2_AMBB2_14294.mRNA.1	SNF2_N Helicase_C
Amobb2_AMBB2_14317.mRNA.1	zf-GRF SNF2_N Helicase_C
Amobb2_AMBB2_14349.mRNA.1	DUF3535 SNF2_N Helicase_C
Amobb2_AMBB2_14487.mRNA.1	FHA SAM_2 SNF2_N
Ancsig_Gene.15149	SNF2_N
Ancsig_Gene.19670	Chromo SNF2_N Helicase_C
Ancsig_Gene.20239	Phosphodiest DBINO SNF2_N
Ancsig_Gene.21925	SNF2_N
Ancsig_Gene.24501	SNF2_N
Ancsig_Gene.28230	SNF2_N Helicase_C
Ancsig_Gene.30393	SNF2_N
Ancsig_Gene.30837	SNF2_N
Ancsig_Gene.31534	SNF2_N
Ancsig_Gene.32885	SNF2_N
Ancsig_Gene.33420	SNF2_N Helicase_C
Ancsig_Gene.34331	SNF2_N Helicase_C
Ancsig_Gene.37385	ResIII
Ancsig_Gene.38406	SNF2_N
Ancsig_Gene.38465	SNF2_N
Ancsig_Gene.38636	SNF2_N
Ancsig_Gene.40652	SNF2_N
Ancsig_Gene.44714	SNF2_N
Ancsig_Gene.50407	SNF2_N
Ancsig_Gene.55500	SNF2_N
Ancsig_Gene.56180	SNF2_N
Ancsig_Gene.62436	SNF2_N
Ancsig_Gene.6496	SNF2_N
Ancsig_Gene.65422	SNF2_N
Ancsig_Gene.66912	SNF2_N
Ancsig_Gene.68121	SNF2_N
Ancsig_Gene.75985	SNF2_N
Ancsig_Gene.76983	SNF2_N
Ancsig_Gene.81249	SNF2_N
Ancsig_Gene.9703	SNF2_N
Andgod_ANDGO_00271.mRNA.1	SNF2_N Helicase_C SnAC
Andgod_ANDGO_00878.mRNA.1	SNF2_N zf-RING_2 Helicase_C
Andgod_ANDGO_01038.mRNA.1	SNF2_N
Andgod_ANDGO_01406.mRNA.1	DBINO SNF2_N Helicase_C
Andgod_ANDGO_03076.mRNA.1	SNF2_N Helicase_C
Andgod_ANDGO_03758.mRNA.1	SNF2_N Helicase_C Bromodomain
Andgod_ANDGO_03772.mRNA.1	zf-GRF SNF2_N Helicase_C
Andgod_ANDGO_04440.mRNA.1	SNF2_N Helicase_C
Andgod_ANDGO_04672.mRNA.1	Chromo SNF2_N Helicase_C
Andgod_ANDGO_05071.mRNA.1	SNF2_N Helicase_C
Andgod_ANDGO_05312.mRNA.1	SNF2_N Helicase_C
Andgod_ANDGO_05357.mRNA.1	HIRAN SNF2_N zf-RING_2 Helicase_C
Andgod_ANDGO_05544.mRNA.1	SNF2_N Helicase_C RRM_1 HAND SLIDE
Andgod_ANDGO_05791.mRNA.1	SNF2_N SNF2_N zf-RING_2 Helicase_C
Andgod_ANDGO_05846.mRNA.1	SNF2_N zf-RING_UBOX Helicase_C
Andgod_ANDGO_06338.mRNA.1	SNF2_N zf-RING_2 Helicase_C
Andgod_ANDGO_06689.mRNA.1	Chromo SNF2_N Helicase_C
Andgod_ANDGO_07157.mRNA.1	SNF2_N Helicase_C
Andgod_ANDGO_08192.mRNA.1	SNF2_N Helicase_C
Andgod_ANDGO_08218.mRNA.1	SNF2_N Helicase_C
Andgod_ANDGO_08372.mRNA.1	HSA SNF2_N Helicase_C
Andgod_ANDGO_08594.mRNA.1	SNF2_N Helicase_C
Apla_XP_022079723.1	HARP SNF2_N Helicase_C
Apla_XP_022079881.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Apla_XP_022079885.1	HIRAN SNF2_N zf-C3HC4_3 Helicase_C
Apla_XP_022080346.1	DUF3535 HEAT SNF2_N Helicase_C
Apla_XP_022080379.1	SNF2_N Helicase_C
Apla_XP_022081281.1	SNF2_N Helicase_C
Apla_XP_022082032.1	SNF2_N zf-C3HC4 Helicase_C
Apla_XP_022082169.1	Chromo Chromo SNF2_N Helicase_C BRK BRK
Apla_XP_022082533.1	SNF2_N Helicase_C
Apla_XP_022083273.1	DBINO SNF2_N Helicase_C
Apla_XP_022085624.1	SNF2_N Helicase_C
Apla_XP_022086433.1	SNF2_N Helicase_C
Apla_XP_022086718.1	ADD_ATRX SNF2_N Helicase_C
Apla_XP_022087828.1	QLQ HSA BRK SNF2_N Helicase_C SnAC Bromodomain
Apla_XP_022088440.1	SNF2_N Helicase_C HNH
Apla_XP_022089252.1	SNF2_N Helicase_C VIGSSK
Apla_XP_022089651.1	SNF2_N Helicase_C LIG3_BRCT
Apla_XP_022093302.1	HSA SNF2_N Helicase_C
Apla_XP_022093303.1	HSA SNF2_N Helicase_C
Apla_XP_022093304.1	HSA SNF2_N Helicase_C
Apla_XP_022098307.1	zf-GRF SNF2_N Helicase_C
Apla_XP_022100237.1	Rad54_N SNF2_N Helicase_C
Apla_XP_022104139.1	SNF2_N Helicase_C
Apla_XP_022104216.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Apla_XP_022105890.1	Chromo Chromo SNF2_N Helicase_C CDH1_2_SANT_HL1 DUF4208
Apla_XP_022105891.1	Chromo Chromo SNF2_N Helicase_C CDH1_2_SANT_HL1 DUF4208
Apla_XP_022109326.1	Helicase_C_3 ResIII ERCC3_RAD25_C
Apla_XP_022111423.1	SNF2_N Helicase_C HAND SLIDE
Aplker_103940	Chromo SNF2_N Helicase_C
Aplker_17132	SNF2_N
Aplker_18159	SNF2_N Helicase_C
Aplker_18291	SNF2_N Helicase_C
Aplker_24958	SNF2_N Helicase_C
Aplker_37342	SNF2_N Helicase_C
Aplker_37554	SNF2_N Helicase_C
Aplker_38835	SNF2_N Helicase_C
Aplker_40761	SNF2_N Helicase_C HAND SLIDE
Aplker_47285	SNF2_N
Aplker_47795	SNF2_N Helicase_C
Aplker_54444	SNF2_N
Aplker_54620	SNF2_N Helicase_C
Aplker_55968	SNF2_N
Aplker_55977	SNF2_N Helicase_C
Aplker_60167	SNF2_N zf-RING_2 Helicase_C
Aplker_60934	SNF2_N zf-RING_2
Aplker_61146	Chromo SNF2_N PHD
Aplker_70449	SNF2_N Helicase_C
Aplker_78435	SNF2_N Helicase_C
Aplker_84393	SNF2_N Helicase_C
Aplker_94202	Chromo SNF2_N Helicase_C
Aplker_97709	SNF2_N SNF2_N zf-C3HC4_3 Helicase_C
Aque_Aqu2.1.00227_001	SNF2_N
Aque_Aqu2.1.02921_001	SNF2_N
Aque_Aqu2.1.04160_001	SNF2_N
Aque_Aqu2.1.04641_001	SNF2_N
Aque_Aqu2.1.04780_001	SNF2_N
Aque_Aqu2.1.04812_001	SNF2_N
Aque_Aqu2.1.04843_001	SNF2_N
Aque_Aqu2.1.05844_001	SNF2_N
Aque_Aqu2.1.05915_001	GWT1 SNF2_N
Aque_Aqu2.1.07254_001	SNF2_N
Aque_Aqu2.1.07840_001	SNF2_N
Aque_Aqu2.1.08004_001	ResIII ERCC3_RAD25_C
Aque_Aqu2.1.10606_001	SNF2_N
Aque_Aqu2.1.12791_001	SNF2_N
Aque_Aqu2.1.13115_001	SNF2_N
Aque_Aqu2.1.13819_001	SNF2_N
Aque_Aqu2.1.13906_001	SNF2_N Helicase_C
