gene	name
Hsap_ENSG00000163348_PYGO2	PYGO2
Hsap_ENSG00000165632_TAF3	TAF3
Hsap_ENSG00000166436_TRIM66	TRIM66
Hsap_ENSG00000167548_KMT2D	KMT2D
Hsap_ENSG00000170004_CHD3	CHD3
Hsap_ENSG00000171016_PYGO1	PYGO1
Hsap_ENSG00000171456_ASXL1	ASXL1
Hsap_ENSG00000171634_BPTF	BPTF
Hsap_ENSG00000172943_PHF8	PHF8
Hsap_ENSG00000173120_KDM2A	KDM2A
Hsap_ENSG00000185404_SP140L	SP140L
Hsap_ENSG00000197323_TRIM33	TRIM33
Hsap_ENSG00000197724_PHF2	PHF2
Hsap_ENSG00000198604_BAZ1A	BAZ1A
Hsap_ENSG00000225553_PHF1	PHF1
Hsap_ENSG00000272333_KMT2B	KMT2B
Hsap_ENSG00000274780_PHRF1	PHRF1
Hsap_ENSG00000275023_MLLT6	MLLT6
Hsap_ENSG00000275851_MLLT6	MLLT6
Hsap_ENSG00000276043_UHRF1	UHRF1
Hsap_ENSG00000281813_KAT6B	KAT6B
Hsap_ENSG00000015171_ZMYND11	ZMYND11
Hsap_ENSG00000078487_ZCWPW1	ZCWPW1
Hsap_ENSG00000088305_DNMT3B	DNMT3B
Hsap_ENSG00000096070_BRPF3	BRPF3
Hsap_ENSG00000100425_BRD1	BRD1
Hsap_ENSG00000101040_ZMYND8	ZMYND8
Hsap_ENSG00000109685_NSD2	NSD2
Hsap_ENSG00000112273_HDGFL1	HDGFL1
Hsap_ENSG00000116062_MSH6	MSH6
Hsap_ENSG00000119772_DNMT3A	DNMT3A
Hsap_ENSG00000140632_GLYR1	GLYR1
Hsap_ENSG00000147548_NSD3	NSD3
Hsap_ENSG00000156983_BRPF1	BRPF1
Hsap_ENSG00000157502_MUM1L1	MUM1L1
Hsap_ENSG00000164985_PSIP1	PSIP1
Hsap_ENSG00000165671_NSD1	NSD1
Hsap_ENSG00000166503_HDGFL3	HDGFL3
Hsap_ENSG00000167674_HDGFL2	HDGFL2
Hsap_ENSG00000170234_PWWP2A	PWWP2A
Hsap_ENSG00000171813_PWWP2B	PWWP2B
Hsap_ENSG00000204406_MBD5	MBD5
Hsap_ENSG00000206559_ZCWPW2	ZCWPW2
Hsap_ENSG00000283563_AC098650	AC098650
Hsap_ENSG00000092201_SUPT16H	SUPT16H
Hsap_ENSG00000149136_SSRP1	SSRP1
Hsap_ENSG00000005483_KMT2E	KMT2E
Hsap_ENSG00000055609_KMT2C	KMT2C
Hsap_ENSG00000057657_PRDM1	PRDM1
Hsap_ENSG00000061455_PRDM6	PRDM6
Hsap_ENSG00000099381_SETD1A	SETD1A
Hsap_ENSG00000101945_SUV39H1	SUV39H1
Hsap_ENSG00000103037_SETD6	SETD6
Hsap_ENSG00000106462_EZH2	EZH2
Hsap_ENSG00000108799_EZH1	EZH1
Hsap_ENSG00000109685_NSD2	NSD2
Hsap_ENSG00000110066_KMT5B	KMT5B
Hsap_ENSG00000115593_SMYD1	SMYD1
Hsap_ENSG00000116539_ASH1L	ASH1L
Hsap_ENSG00000116731_PRDM2	PRDM2
Hsap_ENSG00000118058_KMT2A	KMT2A
Hsap_ENSG00000133247_KMT5C	KMT5C
Hsap_ENSG00000135632_SMYD5	SMYD5
Hsap_ENSG00000136169_SETDB2	SETDB2
Hsap_ENSG00000139718_SETD1B	SETD1B
Hsap_ENSG00000143379_SETDB1	SETDB1
Hsap_ENSG00000143499_SMYD2	SMYD2
Hsap_ENSG00000145391_SETD7	SETD7
Hsap_ENSG00000147548_NSD3	NSD3
Hsap_ENSG00000147596_PRDM14	PRDM14
Hsap_ENSG00000152455_SUV39H2	SUV39H2
Hsap_ENSG00000165671_NSD1	NSD1
Hsap_ENSG00000167548_KMT2D	KMT2D
Hsap_ENSG00000168137_SETD5	SETD5
Hsap_ENSG00000170364_SETMAR	SETMAR
Hsap_ENSG00000181090_EHMT1	EHMT1
Hsap_ENSG00000181555_SETD2	SETD2
Hsap_ENSG00000183576_SETD3	SETD3
Hsap_ENSG00000183955_KMT5A	KMT5A
Hsap_ENSG00000185420_SMYD3	SMYD3
Hsap_ENSG00000185917_SETD4	SETD4
Hsap_ENSG00000186532_SMYD4	SMYD4
Hsap_ENSG00000204371_EHMT2	EHMT2
Hsap_ENSG00000206376_EHMT2	EHMT2
Hsap_ENSG00000224143_EHMT2	EHMT2
Hsap_ENSG00000227333_EHMT2	EHMT2
Hsap_ENSG00000232045_EHMT2	EHMT2
Hsap_ENSG00000236759_EHMT2	EHMT2
Hsap_ENSG00000238134_EHMT2	EHMT2
Hsap_ENSG00000272333_KMT2B	KMT2B
Hsap_ENSG00000068903_SIRT2	SIRT2
Hsap_ENSG00000077463_SIRT6	SIRT6
Hsap_ENSG00000089163_SIRT4	SIRT4
Hsap_ENSG00000096717_SIRT1	SIRT1
Hsap_ENSG00000124523_SIRT5	SIRT5
Hsap_ENSG00000142082_SIRT3	SIRT3
Hsap_ENSG00000187531_SIRT7	SIRT7
Hsap_ENSG00000283100_SIRT2	SIRT2
Hsap_ENSG00000071794_HLTF	HLTF
Hsap_ENSG00000080503_SMARCA2	SMARCA2
Hsap_ENSG00000080603_SRCAP	SRCAP
Hsap_ENSG00000085224_ATRX	ATRX
Hsap_ENSG00000085999_RAD54L	RAD54L
Hsap_ENSG00000095564_BTAF1	BTAF1
Hsap_ENSG00000100888_CHD8	CHD8
Hsap_ENSG00000102038_SMARCA1	SMARCA1
Hsap_ENSG00000111642_CHD4	CHD4
Hsap_ENSG00000116254_CHD5	CHD5
Hsap_ENSG00000116830_TTF2	TTF2
Hsap_ENSG00000119969_HELLS	HELLS
Hsap_ENSG00000121988_ZRANB3	ZRANB3
Hsap_ENSG00000124177_CHD6	CHD6
Hsap_ENSG00000127616_SMARCA4	SMARCA4
Hsap_ENSG00000128908_INO80	INO80
Hsap_ENSG00000131778_CHD1L	CHD1L
Hsap_ENSG00000138375_SMARCAL1	SMARCAL1
Hsap_ENSG00000146414_SHPRH	SHPRH
Hsap_ENSG00000153147_SMARCA5	SMARCA5
Hsap_ENSG00000153922_CHD1	CHD1
Hsap_ENSG00000163104_SMARCAD1	SMARCAD1
Hsap_ENSG00000164080_RAD54L2	RAD54L2
Hsap_ENSG00000170004_CHD3	CHD3
Hsap_ENSG00000171316_CHD7	CHD7
Hsap_ENSG00000173575_CHD2	CHD2
Hsap_ENSG00000177200_CHD9	CHD9
Hsap_ENSG00000182150_ERCC6L2	ERCC6L2
Hsap_ENSG00000183495_EP400	EP400
Hsap_ENSG00000186871_ERCC6L	ERCC6L
Hsap_ENSG00000197275_RAD54B	RAD54B
Hsap_ENSG00000225830_ERCC6	ERCC6
Hsap_ENSG00000265817_FSBP	FSBP
Hsap_ENSG00000282034_AC106886	AC106886
Hsap_ENSG00000092201_SUPT16H	SUPT16H
Hsap_ENSG00000149136_SSRP1	SSRP1
Hsap_ENSG00000004487_KDM1A	KDM1A
Hsap_ENSG00000139613_SMARCC2	SMARCC2
Hsap_ENSG00000162601_MYSM1	MYSM1
Hsap_ENSG00000173473_SMARCC1	SMARCC1
Hsap_ENSG00000276234_TADA2A	TADA2A
Hsap_ENSG00000277104_TADA2A	TADA2A
Hsap_ENSG00000147854_UHRF2	UHRF2
Hsap_ENSG00000276043_UHRF1	UHRF1
Hsap_ENSG00000083544_TDRD3	TDRD3
Hsap_ENSG00000095627_TDRD1	TDRD1
Hsap_ENSG00000121057_AKAP1	AKAP1
Hsap_ENSG00000132972_RNF17	RNF17
Hsap_ENSG00000156414_TDRD9	TDRD9
Hsap_ENSG00000162782_TDRD5	TDRD5
Hsap_ENSG00000163239_TDRD10	TDRD10
Hsap_ENSG00000173809_TDRD12	TDRD12
